UID,Name,Formula,MW,RT,gammaB1,gammaB2,gammaB3,NumOfQCoutliers,qcRSDB1,qcRSDB2,qcRSDB3,qcRSD,qcRSDlower95CI,qcRSDupper95CI,sampleRSDB1,sampleRSDB2,sampleRSDB3,sampleRSD,sampleRSDlower95CI,sampleRSDupper95CI,refRSDB1,refRSDB2,refRSDB3,refRSD,refRSDlower95CI,refRSDupper95CI,dRatioB1,dRatioB2,dRatioB3,dRatio,blankRatioB1,blankRatioB2,blankRatioB3,blankRatio
C18P1,"L-Histidine",C6 H9 N3 O2,155.06933,0.808,15,6,3,0,4.4124048449302,7.19202359189571,2.87759908631528,5.0231161536056,3.98531182836027,6.79707364114051,16.2403290183899,17.1331844724809,14.9839315424052,16.3236507414219,14.8485954445008,18.1291950954431,NaN,NaN,NaN,NaN,NaN,NaN,27.1694301262849,41.9771561057282,19.2045664261849,30.7720143807,0.438040623562166,0.312224631653399,0.304264546858669,0.438040623562166
C18P2,"L-(+)-Valine",C5 H11 N O2,117.07899,0.976,14,12,12,0,18.7540313698803,698.828267551731,294.965999106295,240.798312859097,153.090322359929,568.418725987502,173.311693274272,292.281539769033,251.109827855101,279.512472155251,225.351866679796,367.808716820074,NaN,NaN,NaN,NaN,NaN,NaN,10.8209844445991,239.094219944222,117.464936209705,86.1493982727717,0.760615720617114,2.57647179797257,0.407307114382611,2.57647179797257
C18P3,"O-Acetyl-L-carnitine",C9 H17 N O4,203.11554,1.362,15,15,13,1,9.3841935243371,8.07577606524185,7.83981630469892,8.12525473093625,6.4200215796932,11.0751301036023,67.0761538869715,51.4173241511915,74.7415772505731,64.0630360206714,57.4458063831727,72.549257474425,NaN,NaN,NaN,NaN,NaN,NaN,13.9903571992965,15.7063328334536,10.4892304833436,12.6832183356319,0.0429573152992312,0.039693170931782,0.0356616881245759,0.0429573152992312
C18P4,"DL-Indole-3-lactic acid",C11 H11 N O3,205.07377,3.663,8,7,11,0,1.09616361554416,1.67423726022887,3.54154573724871,2.20671300640601,1.75112320408296,2.98477399793212,34.239727511396,20.7318016401836,24.5062058936549,27.5304689614811,24.9920545966346,30.6593267621457,NaN,NaN,NaN,NaN,NaN,NaN,3.20143790624305,8.07569592496855,14.4516281003159,8.01553002781575,2.39048903691295,1.91737004695879,1.93205844920202,2.39048903691295
C18P5,"L-(+)-Valine",C5 H11 N O2,117.07902,1.213,14,10,9,1,210.567746191877,87.8479895912046,180.866777027606,148.402882210452,103.437828010784,276.392000165313,176.873589615711,179.352489425766,196.840719944237,182.495736895249,154.011649716378,225.032425882312,NaN,NaN,NaN,NaN,NaN,NaN,119.049851732739,48.980635770637,91.8848381975256,81.3185473453741,1.1240946768398,0.613537636341933,2.50514812910138,2.50514812910138
C18P6,"ECU0035_Carnitine",C7 H15 N O3,161.10507,0.884,4,10,13,0,1.37163173513194,2.53727390448489,5.12642847915446,3.19018159018103,2.53142420737667,4.31547657685729,26.6943523706642,25.4433399930418,26.8038301370749,29.091679414077,26.3998776098966,32.4136361752695,NaN,NaN,NaN,NaN,NaN,NaN,5.13828436849174,9.97225169800339,19.1257311098372,10.9659588392046,0.177413633055412,0.132591139135649,0.168449745944595,0.177413633055412
C18P7,"Uric Acid",C5 H4 N4 O3,168.0282,1.232,4,9,12,2,18.6857494110177,9.31964760767634,7.23238351876268,12.678075705102,9.96905462240608,17.4355928408372,66.0778570179064,72.700335676037,97.1803567012865,79.5883864765323,70.8655909286657,91.0123098618639,NaN,NaN,NaN,NaN,NaN,NaN,28.2783828869541,12.8192635164795,7.44222779609012,15.9295548840412,0.219338449413015,0.17103387724524,0.174715004036659,0.219338449413015
C18P8,"1,7-dimethylxanthine",C7 H8 N4 O2,180.06464,3.151,12,14,15,0,3.10299214854306,3.9700758204433,8.85689237672169,5.5251598380123,4.38341600950937,7.47723797557924,365.810566196742,60.610146170943,187.213768220046,234.02392764396,192.568770866141,299.131831367373,NaN,NaN,NaN,NaN,NaN,NaN,0.848251099142445,6.55018354393375,4.73089797878089,2.36093800050147,0.548539944104741,0.842242891064925,0.663538487003926,0.842242891064925
C18P9,"L-allo-Isoleucine",C6 H13 N O2,131.09456,1.942,9,5,9,2,20.4775999588657,23.1753716175871,33.5897515521789,25.2129195473492,19.7387697917654,35.0302289240235,58.8864364068789,117.152945620976,134.721044680449,102.001876244684,89.809410431557,118.475781844395,NaN,NaN,NaN,NaN,NaN,NaN,34.774731174722,19.7821501582779,24.9328170159696,24.7180938974769,0.0497935216928842,0.10616329389655,0.0658643767147627,0.10616329389655
C18P10,"L-(+)-Valine",C5 H11 N O2,117.07898,0.914,4,6,15,0,1.76422116172067,9.64625003027233,17.6492854421646,10.9140281281814,8.65164590660665,14.7970714781711,30.3589011589409,27.9740871636457,42.7255641745024,34.516263250426,31.2794682524449,38.5293708154655,NaN,NaN,NaN,NaN,NaN,NaN,5.81121547345957,34.4828053685638,41.3084900882298,31.6199585366375,0.729193337153971,0.585957283327299,0.475092617979698,0.729193337153971
